barcode,sku,weight,unit,subCategory,parentCategory,image128,image256,mrp
8901030183461,Domex 2In1 Phenolic Cleaner,500,ml,Dishwashers & Cleaners,Household Needs,https://media.goodbox.in/sku_images/image1/domex-2in1-phenolic-cleaner_128.jpg,https://media.goodbox.in/sku_images/image1/domex-2in1-phenolic-cleaner_256.jpg,85.00
8901030277733,Cif Cream Surface Cleaner,250,ml,Dishwashers & Cleaners,Household Needs,https://media.goodbox.in/sku_images/cif_cream_surface_cleaner_250_ml_128.png,https://media.goodbox.in/sku_images/cif_cream_surface_cleaner_250_ml_256.png,99.00
8901030277740,Cif Cream Lemon Surface Cleaner,250,ml,Dishwashers & Cleaners,Household Needs,https://media.goodbox.in/sku_images/image1/cif-cream-lemon-surface-cleaner_128.jpg,https://media.goodbox.in/sku_images/image1/cif-cream-lemon-surface-cleaner_256.jpg,99.00
8901030303180,Domex Toilet Cleaner Original,500,ml,Dishwashers & Cleaners,Household Needs,https://media.goodbox.in/sku_images/domex_toilet_cleaner_original_500_ml_128.jpg,https://media.goodbox.in/sku_images/domex_toilet_cleaner_original_500_ml_256.jpg,89.00
8901030317859,Rin Matic Washing Machine Powder,1,kg,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/sku_images/rin_matic_washing_machine_powder_1_kg_128.png,https://media.goodbox.in/sku_images/rin_matic_washing_machine_powder_1_kg_256.png,120.00
8901030341656,Surf Excel Bar,400,gm,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/18-12-17/128x128/8901030341656.jpg,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/18-12-17/256x256/8901030341656.jpg,48.00
8901030341663,Surf Excel Soap,800,gm,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/menu-images/dropin/128/8901030341663.jpg,https://media.goodbox.in/qo/menu-images/dropin/256/8901030341663.jpg,98.00
8901030556609,Surf Excel Matic Front Load,1,kg,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/mrp/images/localcatalog/20190915/24183913.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20190915/24183913.jpg,250.00
8901030556807,Surf Excel Matic Front Load,2,kg,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/menu-images/31082017/256/Part+1/8901030560002.jpg,https://media.goodbox.in/qo/menu-images/31082017/256/Part+1/8901030560002.jpg,550.00
8901030559792,Rin Washing Powder Advance,500,gm,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/menu-images/dropin/128/8901030559792.jpg,https://media.goodbox.in/qo/menu-images/dropin/256/8901030559792.jpg,41.00
8901030559808,Rin Refresh Lemon & Rose Detergent Powder,500,gm,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/sku_new/v1/rin_refresh_lemon_rose_detergent_powder_500_gm_128.jpg,https://media.goodbox.in/sku_new/v1/rin_refresh_lemon_rose_detergent_powder_500_gm_256.jpg,44.00
